3.330000000000000000e+02,6.300000000000000000e+01,2.787342349999999897e+03,4.920000000000000000e+04,3.716550000000000000e+05,2.000000000000000000e+00,5.000000000000000000e+00
2.330000000000000000e+02,2.250000000000000000e+02,2.224193897000000106e+03,3.352500000000000000e+04,1.149458000000000000e+06,7.000000000000000000e+00,2.000000000000000000e+00
1.620000000000000000e+02,1.100000000000000000e+01,7.054273245999999745e+03,8.571400000000000000e+04,8.675361000000000000e+06,8.000000000000000000e+00,1.000000000000000000e+00
2.170000000000000000e+02,2.710000000000000000e+02,1.401671317999999928e+03,2.443400000000000000e+04,3.691550000000000000e+06,8.000000000000000000e+00,2.000000000000000000e+00
7.300000000000000000e+01,4.790000000000000000e+02,2.121153517000000193e+03,1.161500000000000000e+04,8.724180000000000000e+05,7.000000000000000000e+00,7.000000000000000000e+00
7.900000000000000000e+01,2.370000000000000000e+02,9.527091092000000572e+03,1.538320000000000000e+05,8.690138000000000000e+06,7.000000000000000000e+00,7.000000000000000000e+00
1.070000000000000000e+02,1.600000000000000000e+01,3.825690590000000157e+03,8.417600000000000000e+04,6.136591000000000000e+06,2.000000000000000000e+00,3.000000000000000000e+00
1.660000000000000000e+02,1.300000000000000000e+01,2.297935081999999966e+03,3.817600000000000000e+04,8.279364000000000000e+06,7.000000000000000000e+00,1.000000000000000000e+00
2.940000000000000000e+02,2.690000000000000000e+02,5.177553205000000162e+03,2.321420000000000000e+05,2.108677000000000000e+07,8.000000000000000000e+00,6.000000000000000000e+00
2.300000000000000000e+02,2.430000000000000000e+02,1.487841859000000113e+03,3.654100000000000000e+04,3.384254000000000000e+06,7.000000000000000000e+00,2.000000000000000000e+00
8.500000000000000000e+01,3.250000000000000000e+02,4.930788006000000223e+02,1.285000000000000000e+03,1.636965000000000000e+06,7.000000000000000000e+00,7.000000000000000000e+00
1.410000000000000000e+02,9.000000000000000000e+00,6.056923748000000387e+02,1.820600000000000000e+04,1.954650000000000000e+05,7.000000000000000000e+00,4.000000000000000000e+00
