143,62,33299,204265,2,7
257,105,42796,430823,2,7
245,28,6796,29637,2,7
5,91,15412,323893,2,1
41,14,1052,69393,2,5
11,40,8272,117243,8,5
17,19,2649,25529,7,5
140,33,5851,70067,7,7
226,7,511,13426,8,7
587,4,1114,14278,2,7
39,4,1077,0,2,2
10,8,1581,15719,8,1
189,48,7905,117035,7,7
116,7,987,24740,8,7
259,3,461,0,7,7
887,4,22199,19985,7,7
155,6,637,24482,2,7
114,44,6223,139369,2,7
122,24,2210,84647,2,7
371,6,1232,512,2,7
303,2,895,5654,2,7
121,9,1219,7113,7,7
237,13,1844,5621,2,7
223,7,1594,4938,7,7
164,3,404,800,7,7
94,4,1084,0,7,7
107,22,2690,22168,7,7
253,21,2117,123948,2,7
776,9,2617,1090,2,7
346,19,3581,50571,2,7
325,22,2288,80066,2,7
104,1,170,4381,2,7
482,1,228,0,2,7
806,8,1366,44667,2,7
312,33,6298,100149,2,7
557,6,1573,1090,2,7
586,18,3694,21022,2,7
587,12,3086,8130,2,7
372,27,2735,112189,8,7
460,4,1221,5058,8,7
275,4,689,1957,8,7
376,2,295,25645,8,7
262,5,413,9039,8,7
99,16,1510,67356,8,7
479,28,4791,97801,7,7
346,46,6880,134363,7,7
328,13,1552,80226,7,7
253,4,282,2686,7,7
345,4,1021,2331,7,7
357,7,1180,79804,7,7
237,117,42654,481892,7,7
476,40,4901,77322,7,7
152,11,25276,12001,7,7
294,6,977,3570,7,7
433,5,1296,14349,7,7
300,3,310,800,7,7
325,9,1300,3481,7,7
277,4,1184,55100,7,7
212,0,0,0,7,7
168,30,4703,65483,7,7
139,5,22265,31773,7,7
271,61,10036,189163,7,7
21,40,31902,111627,2,3
26,25,2043,95157,2,3
18,36,5849,150463,2,3
3,5,710,668,2,3
16,61,11513,215041,2,3
13,2,159,3981,8,3
4,45,6613,122444,8,3
7,3,257,2949,8,3
11,1,467,1204,8,3
9,38,6321,108258,7,3
5,12,2364,17730,7,3
51,12,894,10292,7,3
8,6,580,0,7,3
14,2,403,36205,7,3
1,1,13,0,2,4
7,7,1259,55100,2,4
3,46,31073,159733,2,4
8,46,8127,154112,2,4
9,2,363,55100,2,4
4,25,2967,125748,2,4
3,30,4709,94025,2,4
8,16,3347,35324,8,4
4,4,712,22114,8,4
1,312,87574,1459760,8,4
