,lng,lat,lable
0,113.935528,22.55090678,2
1,113.9475916,22.51452494,2
2,114.036301,22.63441175,19
3,113.9096037,22.52356999,2
4,113.94253429999999,22.53018599,2
5,114.1326278,22.57888698,1
6,114.0518166,22.55182922,12
7,113.9794317,22.54416925,15
8,113.96016370000001,22.58707962,15
9,113.95203870000002,22.55852375,15
10,114.04427340000002,22.6332164,19
11,113.9226665,22.487285399999998,14
12,113.91043859999999,22.78648373,7
13,113.9444811,22.52396702,2
14,114.11529499999999,22.56774592,1
15,114.09035990000001,22.54996386,18
16,114.1106478,22.54548343,18
17,114.13369399999999,22.54771065,1
18,113.95816459999999,22.55984225,15
19,113.9981587,22.69710235,0
20,113.9551462,22.54173959,15
21,113.89267749999999,22.55566049,13
22,114.1157759,22.54687817,18
23,114.08413449999999,22.54512982,18
24,114.1151862,22.56774484,1
25,114.06350659999998,22.53999838,3
26,114.4252396,22.6352607,4
27,114.1303999,22.682864300000002,5
28,113.9907634,22.56382444,15
29,113.9319622,22.52971024,2
30,113.93843490000002,22.52496528,2
31,113.9304256,22.53290881,2
32,113.95633229999999,22.54508122,15
33,113.94655890000001,22.54618387,15
34,113.81253290000001,22.73283909,9
35,113.9109531,22.78502373,7
36,114.02792620000001,22.63052703,19
37,114.095431,22.54823492,18
38,113.9466397,22.53031049,2
39,114.0940883,22.5505362,18
40,114.06165159999998,22.55079631,3
41,114.05903119999999,22.54281037,3
42,114.07744309999998,22.55072928,3
43,113.93132390000001,22.51099805,14
44,114.20313610000001,22.65239909,16
45,114.2574496,22.73000324,10
46,114.22419850000001,22.72907764,10
47,114.12836029999998,22.60483416,17
48,113.9123139,22.56464373,13
49,113.8365003,22.73419586,9
50,113.8859909,22.56535127,13
51,113.9076633,22.56949277,13
52,113.86052109999999,22.76939927,9
53,114.02745800000001,22.660603,19
54,114.0386,22.64509,19
55,114.2382594,22.55716003,8
56,113.960701,22.54128427,15
57,113.9858237,22.53904035,15
58,113.9426905,22.52278606,2
59,113.88670220000002,22.50667154,14
60,113.9195263,22.48821064,14
61,113.92746580000001,22.49643689,14
62,113.9284793,22.53909689,2
63,113.96227979999999,22.54513521,15
64,113.9524004,22.55041129,15
65,113.93952730000001,22.54770789,2
66,114.13803529999998,22.55706936,1
67,114.12446709999999,22.54736992,1
68,114.11662369999999,22.54747398,18
69,114.13714850000001,22.56710691,1
70,114.115875,22.55882984,1
71,114.14192,22.55195332,1
72,114.0587438,22.52830239,3
73,114.0701279,22.54822566,3
74,114.0510807,22.55982278,12
75,114.0899025,22.54492559,18
76,114.0319654,22.54114551,12
77,114.06065079999999,22.57122188,3
78,114.062303,22.55058641,3
79,114.0751513,22.53726812,3
80,114.03348079999999,22.53227513,12
81,114.0299378,22.53715065,12
82,114.1085884,22.5648228,18
83,114.0489636,22.54701035,12
84,114.0922242,22.55057923,18
85,114.037954,22.53904505,12
86,114.0701842,22.55279055,3
87,114.08854540000002,22.5477022,18
88,114.01775959999999,22.55063076,12
89,114.0586358,22.547363600000004,3
90,114.3494396,22.69258781,6
91,114.20227790000001,22.64842385,16
92,114.12999350000001,22.61596848,17
93,114.242577,22.73146844,10
94,113.89605859999999,22.55950666,13
95,113.83650890000001,22.73579567,9
96,113.8937926,22.59171052,13
97,113.8575473,22.77060536,9
98,113.8679012,22.62117914,11
99,113.91747520000001,22.567693,13
100,114.0305449,22.65929539,19
101,114.2360115,22.55527082,8
102,113.99334350000001,22.54043301,15
103,113.9290138,22.52635867,2
104,113.9260058,22.50218813,14
105,113.9208142,22.48886396,14
106,113.9416084,22.52552622,2
107,114.1359551,22.56589269,1
108,114.1220749,22.54001974,1
109,114.12556790000001,22.55438475,1
110,114.11843200000001,22.54773061,1
111,114.06891850000001,22.52920679,3
112,114.0919854,22.55519769,18
113,114.0905844,22.547327399999997,18
114,114.0603361,22.54361222,3
115,114.05350520000002,22.55851313,12
116,114.24428190000002,22.71789439,10
117,114.05496409999998,22.60228281,19
118,113.8690617,22.58029184,13
119,113.89369640000001,22.56553711,13
120,113.8366165,22.73814622,9
121,113.9105996,22.57432231,13
122,114.03041359999999,22.66651513,19
123,114.2415759,22.55767002,8
124,113.9330507,22.49263972,14
125,113.957699,22.54489143,15
126,113.98188880000001,22.54333824,15
127,113.9296257,22.52594615,2
128,113.9571946,22.55992571,15
129,113.947668,22.50509886,14
130,113.9258532,22.53714656,2
131,114.11999479999999,22.54546772,1
132,114.1309,22.54347137,1
133,114.13644540000001,22.55241074,1
134,114.08413449999999,22.54512982,18
135,114.03854059999999,22.53595239,12
136,114.0980015,22.54360268,18
137,114.0739007,22.55318047,3
138,114.0881037,22.55053025,18
139,114.09681929999999,22.54687677,18
140,114.10248680000001,22.54758699,18
141,114.05869440000001,22.54441486,3
142,114.1073505,22.56323418,18
143,114.1298222,22.60127081,17
144,114.235426,22.72791928,10
145,114.21260749999999,22.65270691,16
146,113.872169,22.58180641,13
147,113.89122569999999,22.56361538,13
148,113.91366090000001,22.56691063,13
149,114.0367278,22.66712542,19
150,114.24373290000001,22.55601733,8
151,113.95879070000001,22.54477371,15
152,113.9378892,22.52312466,2
153,113.94359469999999,22.5279827,2
154,113.9096037,22.52356999,2
155,113.97033200000001,22.53867762,15
156,113.9883185,22.55652446,15
157,113.9375307,22.53751168,2
158,113.97452340000002,22.53704603,15
159,114.1264898,22.54887129,1
160,114.11182790000001,22.56299617,18
161,114.12426210000001,22.54214549,1
162,114.03084140000001,22.54109547,12
163,114.07631869999999,22.54510525,3
164,114.0257959,22.54320739,12
165,114.06213319999999,22.5445484,3
166,114.06350659999998,22.53999838,3
167,114.0513821,22.52274697,3
168,114.044568,22.55603812,12
169,114.10101429999999,22.56632048,18
170,114.07355430000001,22.56672067,3
171,114.0723165,22.52785975,3
172,114.05559280000001,22.55173057,3
173,114.10616999999999,22.54610342,18
174,114.02514270000002,22.55417662,12
175,114.4267107,22.63499357,4
176,114.48214340000001,22.59896856,4
177,114.3449382,22.69110637,6
178,113.9117943,22.77995889,7
179,113.95173799999999,22.768389000000003,7
180,114.31677909999999,22.77612129,6
181,114.0751064,22.64205865,5
182,114.06957450000002,22.65668723,5
183,114.1242791,22.607353399999997,17
184,114.2496789,22.72603222,10
185,114.1362322,22.70014711,5
186,113.9462273,22.684968100000003,0
187,113.8516832,22.77174393,9
188,113.8320872,22.67762114,11
189,113.8079084,22.73541073,9
190,113.8870618,22.55540935,13
191,113.86915520000001,22.57895407,13
192,113.90556869999999,22.57909014,13
193,113.83652839999999,22.73626577,9
194,113.86694979999999,22.62110919,11
195,113.90063729999999,22.57240797,13
196,113.91256770000001,22.55745778,13
197,114.02639740000002,22.66283814,19
198,114.0561962,22.70778073,5
199,114.26127220000001,22.59585976,8
200,114.2380084,22.55538388,8
201,114.24457109999999,22.56484081,8
202,113.9369499,22.53905658,2
203,113.9512206,22.55183275,15
204,113.9385144,22.49199074,14
205,113.9310785,22.51385263,2
206,113.92569180000001,22.53835813,2
207,113.9294682,22.52854912,2
208,113.93033500000001,22.496173100000004,14
209,113.9269118,22.50296287,14
210,113.96016370000001,22.58707962,15
211,113.9507227,22.55888775,15
212,113.92079050000001,22.48846747,14
213,113.9541943,22.54472426,15
214,113.93642390000001,22.52429003,2
215,113.94061210000001,22.52423237,2
216,114.1169183,22.55337833,1
217,114.14621499999998,22.568382999999997,1
218,114.12291709999998,22.54748338,1
219,114.1138903,22.54937013,18
220,114.1292291,22.54973771,1
221,114.13559640000001,22.55159998,1
222,114.12842040000001,22.55333505,1
