_index,lng,lat,lable
206,113.9310785,22.51385263,79
207,113.9256918,22.53835813,81
208,113.9294682,22.52854912,111
209,113.930335,22.4961731,18
210,113.9269118,22.50296287,71
211,113.9601637,22.58707962,28
212,113.9507227,22.55888775,51
213,113.9207905,22.48846747,66
214,113.9541943,22.54472426,9
215,113.9364239,22.52429003,25
216,113.9406121,22.52423237,112
217,114.1169183,22.55337833,72
218,114.146215,22.568383,41
219,114.1229171,22.54748338,4
220,114.1138903,22.54937013,101
221,114.1292291,22.54973771,89
222,114.1355964,22.55159998,91
223,114.1284204,22.55333505,89
224,114.118511,22.54610602,101
225,114.1278971,22.58247428,61
226,114.1786294,22.56622166,27
227,114.0755609,22.53920144,58
228,114.0264066,22.55124962,22
229,114.0887739,22.548231,19
230,114.1106478,22.54548343,76
231,114.0468354,22.53273017,82
232,114.0726541,22.55293372,54
233,114.0664392,22.5287642,75
234,114.0486106,22.55234157,20
235,114.0597457,22.54188655,110
236,114.0606529,22.53753813,0
237,114.100873,22.5449598,53
238,114.0466021,22.57286739,44
239,114.1038418,22.55140525,53
240,114.0570981,22.57434075,69
241,114.0661224,22.54864489,52
242,114.0614797,22.54358891,110
243,114.4857107,22.60309681,6
244,114.3799639,22.75046983,34
245,114.3493377,22.69661607,10
246,114.349986,22.69690914,10
247,113.9033681,22.78210227,17
248,113.9505153,22.76731376,26
249,114.276215,22.729257,57
250,114.2706724,22.73362023,57
251,114.1303151,22.59996356,16
252,114.1565034,22.61644771,90
253,114.0827009,22.64101049,5
254,114.2565977,22.72886865,2
255,114.3182846,22.77734881,23
256,114.0773371,22.66420775,62
257,114.1983559,22.65295712,15
258,114.2394403,22.73018907,38
259,114.1495111,22.70344546,56
260,114.1365692,22.61564805,49
261,113.8957566,22.56271106,64
262,113.8947174,22.56414761,64
263,113.881853,22.56514161,88
264,113.8526541,22.77469788,3
265,113.832464,22.677864,37
266,113.9368443,22.68068043,12
267,113.8264983,22.73533056,21
268,113.9007747,22.58182301,11
269,113.8589421,22.77144025,103
270,113.8319402,22.6487838,8
271,113.9145963,22.56602589,36
272,114.010446,22.66524095,94
273,114.0554239,22.70580792,31
274,114.2375611,22.5545553,67
275,114.2450268,22.56073067,7
276,113.9910965,22.54250481,30
277,113.9208142,22.48886396,66
278,113.9339008,22.53820344,87
279,113.9591055,22.543626,9
280,113.9201834,22.53420052,81
281,113.9355973,22.52019314,25
282,113.9634305,22.58691653,28
283,113.9421478,22.52376008,112
284,113.9535185,22.54960778,78
285,114.1161737,22.55803248,72
286,114.1295509,22.55056893,89
287,114.1199875,22.54490062,101
288,114.1297952,22.54776083,4
289,114.1382048,22.55608744,46
290,114.1455523,22.57520705,41
291,114.1267817,22.56574218,33
292,114.1366304,22.55060484,91
293,114.1131938,22.54592295,76
294,114.1795342,22.56673064,27
295,114.0766787,22.5547017,108
296,114.0433583,22.56055901,83
297,114.0492479,22.53064782,82
298,114.1007798,22.55081872,53
299,114.0440806,22.55006204,20
300,114.0450566,22.55377879,83
301,114.0635066,22.53999838,0
302,114.0603453,22.56579882,69
303,114.089278,22.54581015,19
304,114.0635679,22.51454028,100
305,114.1093877,22.54639434,76
306,114.0501587,22.54820295,20
307,114.0678408,22.54170596,0
308,114.1105329,22.55418796,72
309,114.034855,22.5404003,80
310,114.062988,22.54237012,0
311,114.0494935,22.53093136,82
312,114.0621802,22.54958186,52
313,114.4281857,22.63778555,24
314,114.3519496,22.69565091,10
315,113.9028778,22.7848292,17
316,113.951474,22.75826705,26
317,114.0723685,22.65191476,86
318,114.2239402,22.72768351,77
319,114.0673322,22.64466122,5
320,114.1929784,22.64341356,97
321,114.1233498,22.60687116,104
322,114.2445007,22.72286461,113
323,113.9430597,22.68561712,12
324,113.9162083,22.56433483,36
325,113.8299316,22.68080791,37
326,113.8361064,22.73489329,21
327,113.8979406,22.55147876,29
328,114.0239665,22.66830181,14
329,114.0540968,22.69923077,31
330,114.2372581,22.5543623,67
331,113.9598985,22.58689855,28
332,113.9519422,22.54408318,9
333,113.929068,22.49574765,18
334,113.9256706,22.53670844,81
335,114.1419737,22.55627338,46
336,114.1321099,22.57736586,61
337,114.17617,22.56772265,27
338,114.1382042,22.55536731,46
339,114.134529,22.55058017,91
340,114.1287166,22.55342647,89
341,114.123815,22.549134,4
342,114.0947785,22.54687612,118
343,114.0599521,22.53786417,0
344,114.0301612,22.54080003,47
345,114.1016509,22.55470352,53
346,114.0754654,22.53563852,58
347,114.0524033,22.54635401,20
348,114.056971,22.541279,110
349,114.028053,22.542952,47
350,114.12498,22.540935,109
351,114.037635,22.538566,80
352,114.151265,22.553427,106
353,113.833275,22.650316,8
354,114.073376,22.525087,75
355,114.094025,22.544147,118
356,114.213451,22.71558,68
357,114.058222,22.519621,100
358,114.147851,22.566509,41
359,113.947592,22.514525,65
360,114.19868,22.642011,97
361,114.015351,22.540562,92
362,113.957845,22.543724,9
363,113.868946,22.578585,32
364,114.020525,22.557873,22
365,114.224072,22.728818,77
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
0,,,
0,,,
