8,143,5060.403853,62,33299,204265,2,7
9,257,8153.594785,105,42796,430823,2,7
10,245,2505.139916,28,6796,29637,2,7
12,5,9327.844277,91,15412,323893,2,1
14,41,1113.186002,14,1052,69393,2,5
15,11,2315.078869,40,8272,117243,8,5
16,17,1109.160525,19,2649,25529,7,5
17,140,1633.791743,33,5851,70067,7,7
18,226,460.8778928,7,511,13426,8,7
19,587,771.4891528,4,1114,14278,2,7
21,39,347.2412263,4,1077,0,2,2
23,10,465.0015767,8,1581,15719,8,1
24,189,2329.153555,48,7905,117035,7,7
25,116,1116.533288,7,987,24740,8,7
26,259,220.5448766,3,461,0,7,7
29,887,1428.32432,4,22199,19985,7,7
30,155,643.766308,6,637,24482,2,7
31,114,2538.248466,44,6223,139369,2,7
32,122,1580.266386,24,2210,84647,2,7
33,371,341.3320048,6,1232,512,2,7
34,303,600.1487057,2,895,5654,2,7
38,121,543.2975503,9,1219,7113,7,7
39,237,1101.756795,13,1844,5621,2,7
40,223,482.1082668,7,1594,4938,7,7
41,164,315.0071941,3,404,800,7,7
42,94,191.881733,4,1084,0,7,7
43,107,1433.008039,22,2690,22168,7,7
44,253,1799.304483,21,2117,123948,2,7
57,776,834.1886851,9,2617,1090,2,7
58,346,3056.642549,19,3581,50571,2,7
59,325,1598.000921,22,2288,80066,2,7
60,104,1167.604417,1,170,4381,2,7
61,482,124.8007591,1,228,0,2,7
62,806,871.6823637,8,1366,44667,2,7
63,312,2386.092721,33,6298,100149,2,7
64,557,606.6993598,6,1573,1090,2,7
65,586,1059.733596,18,3694,21022,2,7
66,587,1337.118,12,3086,8130,2,7
67,372,1603.519132,27,2735,112189,8,7
68,460,454.0515221,4,1221,5058,8,7
69,275,246.3662218,4,689,1957,8,7
70,376,582.0787582,2,295,25645,8,7
71,262,627.3881518,5,413,9039,8,7
72,99,1379.633671,16,1510,67356,8,7
73,479,1868.808467,28,4791,97801,7,7
74,346,2105.932886,46,6880,134363,7,7
75,328,1234.445148,13,1552,80226,7,7
76,253,334.7880577,4,282,2686,7,7
77,345,377.8632686,4,1021,2331,7,7
78,357,1512.389483,7,1180,79804,7,7
79,237,9527.091092,117,42654,481892,7,7
80,476,1752.307499,40,4901,77322,7,7
81,152,1481.00965,11,25276,12001,7,7
82,294,583.078225,6,977,3570,7,7
83,433,726.3194709,5,1296,14349,7,7
84,300,391.6116618,3,310,800,7,7
85,325,431.4077796,9,1300,3481,7,7
86,277,377.9820589,4,1184,55100,7,7
87,212,0,0,0,0,7,7
88,168,1760.541469,30,4703,65483,7,7
89,139,985.1582758,5,22265,31773,7,7
90,271,2741.840099,61,10036,189163,7,7
103,21,4580.26491,40,31902,111627,2,3
104,26,1629.478014,25,2043,95157,2,3
105,18,3534.730839,36,5849,150463,2,3
106,3,418.1082624,5,710,668,2,3
107,16,3825.69059,61,11513,215041,2,3
108,13,344.8641127,2,159,3981,8,3
109,4,2333.229993,45,6613,122444,8,3
110,7,366.3710085,3,257,2949,8,3
111,11,167.3000274,1,467,1204,8,3
112,9,2150.297247,38,6321,108258,7,3
113,5,976.1765083,12,2364,17730,7,3
114,51,585.7688028,12,894,10292,7,3
115,8,194.3121473,6,580,0,7,3
116,14,627.3465188,2,403,36205,7,3
125,1,129.0140712,1,13,0,2,4
126,7,372.7130207,7,1259,55100,2,4
127,3,4537.195556,46,31073,159733,2,4
128,8,2931.109589,46,8127,154112,2,4
129,9,414.7970852,2,363,55100,2,4
130,4,2936.12965,25,2967,125748,2,4
131,3,2191.357799,30,4709,94025,2,4
132,8,873.5042183,16,3347,35324,8,4
133,4,607.5634688,4,712,22114,8,4
134,1,23824.30334,312,87574,1459760,8,4
135,7,92.67740233,2,90,332,7,4
136,17,1710.814977,20,26325,22345,7,4
137,3,2434.620352,47,8432,98221,7,4
138,14,41.21425694,1,43,0,7,4
139,9,458.4956787,6,465,7572,7,4
140,7,129.9855798,1,172,55100,7,4
141,9,117.1098454,1,112,0,7,4
142,22,0,0,0,0,7,4
143,8,5179.685781,122,18891,515634,7,4
152,9,3843.764651,57,10134,203195,2,1
153,18,1154.013582,10,554,34744,2,1
154,12,2402.890545,40,6525,141802,2,1
155,17,4513.350444,60,10304,250786,2,1
156,3,14363.85017,222,66045,934396,2,1
157,10,4038.334358,36,30161,119724,2,1
158,74,3796.744363,60,11739,182315,2,1
159,15,575.9815076,2,48,0,2,1
160,4,431.8608359,7,1136,5375,8,1
161,54,4912.138991,99,15944,379438,8,1
162,11,7054.273246,124,19797,449876,8,1
163,34,744.1755052,9,24477,2578,7,1
164,27,3422.772676,84,13075,276101,7,1
165,4,148.3797226,1,24,0,7,1
166,13,458.6568671,9,1673,2372,7,1
167,51,3716.673798,84,14895,246958,7,1
168,23,2936.350196,69,10702,156430,7,1
169,22,6324.815203,102,41331,394514,7,1
170,25,3524.760864,76,13847,196707,7,1
171,6,1038.095913,1,571,9356,7,1
172,7,3938.080943,82,13857,224643,7,1
173,12,418.7571031,4,246,521,7,1
174,23,186.3819928,1,255,1565,7,1
175,11,504.0253741,2,22011,4379,7,1
204,399,1190.510984,18,4129,21882,2,2
205,110,1313.572245,7,549,48856,2,2
206,70,342.5972802,2,204,1305,2,2
207,314,1715.60759,23,1927,64211,2,2
208,271,1607.139959,24,2100,127032,2,2
209,174,1341.819817,11,1352,47712,2,2
210,143,443.7836364,2,289,0,2,2
211,535,1724.121768,4,1146,17514,2,2
212,288,3259.475641,40,8965,104827,2,2
213,277,417.7391763,5,631,668,2,2
215,114,965.9216308,16,1355,32868,2,2
216,262,1854.665098,28,3329,91946,2,2
217,271,993.9309639,20,3752,28380,8,2
218,168,1385.267681,8,882,55800,8,2
219,318,387.467455,6,1077,2124,8,2
220,198,414.9997751,4,1338,2797,8,2
221,150,416.170302,6,708,9042,8,2
222,269,776.513477,15,995,32210,8,2
223,400,1234.846687,25,3456,67372,8,2
224,169,186.5183187,4,426,1204,8,2
225,139,1309.007158,3,668,22392,8,2
226,118,761.4051468,3,231,26032,8,2
227,266,668.740467,4,1066,6718,7,2
228,188,1346.839438,4,22210,19985,7,2
229,378,1372.850722,24,3242,37633,7,2
230,243,1128.702591,19,4062,40928,7,2
231,132,2604.642101,52,31612,128111,7,2
232,124,1109.715934,11,1535,7443,7,2
233,225,2058.562815,33,5609,106315,7,2
234,216,858.0351656,11,1220,41243,7,2
235,139,362.9861163,8,1566,638,7,2
236,152,1027.80045,17,2836,47780,7,2
237,89,325.9981104,3,598,18416,7,2
238,172,1991.157671,8,1271,82910,7,2
239,147,703.2810048,9,2048,8677,7,2
240,230,3191.511837,31,4317,125993,7,2
241,235,2105.289689,44,6905,129223,7,2
242,140,179.147394,4,318,0,7,2
276,572,1130.721431,4,440,38446,2,6
277,497,928.1896447,7,1170,43420,2,6
278,504,2319.919357,38,6070,110427,2,6
279,562,845.8976373,13,2748,4126,2,6
280,426,2742.72852,34,5212,161940,2,6
281,351,1636.737437,21,1988,89769,2,6
282,764,1192.553572,4,822,16821,2,6
283,444,2441.841437,42,5742,132736,2,6
284,550,763.798342,11,2169,4122,2,6
285,307,1090.005595,13,1913,19022,8,6
286,129,1337.279414,30,3508,66481,8,6
287,290,417.5690184,6,1012,2768,8,6
288,143,286.4005279,2,376,8162,8,6
289,160,1965.414809,32,3670,135217,8,6
290,376,1075.106858,7,688,76668,8,6
291,289,1067.723369,3,535,50919,8,6
292,229,4382.849241,54,6842,363191,8,6
293,400,448.5260351,7,1920,15027,8,6
294,269,3914.263128,83,12886,267591,8,6
295,175,2019.508526,45,6860,61641,7,6
296,282,1594.3463,15,1792,81223,7,6
297,179,2370.331544,36,6699,112741,7,6
298,317,387.5345253,3,743,5262,7,6
299,128,1704.663132,30,6092,63458,7,6
300,162,1440.82141,8,23282,33719,7,6
301,294,205.4280183,3,461,0,7,6
302,355,1797.034735,22,2786,106851,7,6
303,318,1386.186879,25,3513,40620,7,6
304,401,656.4035312,2,545,6845,7,6
305,151,634.2929572,7,1909,15197,7,6
306,231,3150.635414,41,6583,135959,7,6
307,482,1204.848713,25,4407,23095,7,6
308,227,393.8568661,1,198,468,7,6
309,613,643.8836942,5,1780,858,7,6
310,250,409.2812362,9,1089,638,7,6
311,216,759.9039688,3,550,19347,7,6
312,307,829.1937951,14,2493,11436,7,6
331,160,2066.415351,4,1232,17706,2,5
