"中信银行","1","9","93","5441.895597736086","115"
"中信银行","1","2","5","9327.844276951198","66"
"中信银行","1","8","10","465.0015767210671","101"
"中信银行","1","5","16","3570.9202470630644","60"
"中信银行","1","1","17","18819.875365803044","17"
"中信银行","1","10","28","6533.125834961474","16"
"中信银行","1","10","11","10085.149786415517","38"
"中信银行","1","10","6","10092.757689874428","114"
"中信银行","1","5","32","2727.341590566237","32"
"中信银行","1","5","13","1480.5528311668324","64"
"中信银行","1","5","19","1627.195232114695","36"
"中信银行","1","9","84","4115.116962196137","98"
"中信银行","1","6","8","1372.4091198615336","7"
"中信银行","1","2","9","3843.7646507692903","9"
"中信银行","1","2","18","1154.0135824118597","25"
"中信银行","1","2","12","2402.89054460054","85"
"中信银行","1","2","17","4513.350443597047","1"
"中信银行","1","2","3","14363.850169904475","70"
"中信银行","1","2","10","4038.334357930627","59"
"中信银行","1","2","74","3796.7443626698205","87"
"中信银行","1","2","15","575.9815076405006","70"
"中信银行","1","8","4","431.86083585981333","4"
"中信银行","1","8","54","4912.138990905379","42"
"中信银行","1","8","11","7054.273245808394","109"
"中信银行","1","7","34","744.175505164549","47"
"中信银行","1","7","27","3422.7726763994056","108"
"中信银行","1","7","4","148.37972259705862","47"
"中信银行","1","7","13","458.6568670548675","110"
"中信银行","1","7","51","3716.6737982305613","0"
"中信银行","1","7","23","2936.3501959799432","40"
"中信银行","1","7","22","6324.8152033498145","83"
"中信银行","1","7","25","3524.760864447984","42"
"中信银行","1","7","6","1038.0959127486756","73"
"中信银行","1","7","7","3938.0809427017207","75"
"中信银行","1","7","12","418.75710305337185","52"
"中信银行","1","7","23","186.38199283926872","53"
"中信银行","1","7","11","504.0253741421444","22"
"中信银行","1","7","5","0","110"
"中行","2","2","39","347.2412262748309","9"
"中行","2","4","283","3261.5083551673924","24"
"中行","2","4","313","2627.0870290035946","6"
"中行","2","3","1069","1552.3845215166214","10"
"中行","2","1","1128","1883.2408166380603","17"
"中行","2","1","1092","5303.1858085508","26"
"中行","2","10","580","703.6849991292987","23"
"中行","2","10","840","2138.1964740471794","5"
"中行","2","10","205","419.7827285741064","86"
"中行","2","10","782","5552.097714623661","104"
"中行","2","10","843","3170.2337281762852","2"
"中行","2","10","880","2296.493974375358","93"
"中行","2","5","981","2461.042930679543","12"
"中行","2","5","1193","3696.7079898874676","3"
"中行","2","5","55","2265.142587626283","37"
"中行","2","5","1159","1667.5607280702181","60"
"中行","2","5","266","4892.945948590266","29"
"中行","2","5","608","4650.616642418262","32"
"中行","2","5","430","3760.402274776764","11"
"中行","2","5","1030","2402.311090404443","21"
"中行","2","5","687","2679.2567863909317","39"
"中行","2","5","213","2343.529032969623","84"
"中行","2","5","153","2560.1372988179746","105"
"中行","2","9","2241","2796.5055068512324","74"
"中行","2","9","793","4693.113986524728","31"
"中行","2","6","141","702.812663937453","48"
"中行","2","6","224","1373.6808757639687","67"
"中行","2","6","197","392.6570035482459","7"
"中行","2","2","399","1190.5109841422154","78"
"中行","2","2","110","1313.5722452569514","18"
"中行","2","2","70","342.59728019122235","79"
"中行","2","2","314","1715.6075900358276","81"
"中行","2","2","271","1607.1399589831817","111"
"中行","2","2","174","1341.8198169568814","18"
"中行","2","2","143","443.78363640860294","71"
"中行","2","2","535","1724.1217684856533","28"
"中行","2","2","288","3259.4756406273796","51"
"中行","2","2","277","417.7391762881469","66"
"中行","2","2","114","965.9216307587852","25"
"中行","2","2","262","1854.6650983151474","112"
"中行","2","8","271","993.9309638666725","72"
"中行","2","8","168","1385.2676805241315","41"
"中行","2","8","318","387.46745498829415","4"
"中行","2","8","198","414.99977513619","101"
"中行","2","8","150","416.1703019945634","89"
"中行","2","8","269","776.5134769788334","91"
"中行","2","8","400","1234.8466869659367","89"
"中行","2","8","169","186.51831874145745","101"
"中行","2","8","139","1309.0071582727262","61"
"中行","2","8","118","761.405146847018","27"
"中行","2","7","266","668.7404669654513","58"
"中行","2","7","188","1346.8394379583829","22"
"中行","2","7","378","1372.8507220819024","19"
"中行","2","7","243","1128.7025910083946","76"
"中行","2","7","132","2604.642101021237","82"
"中行","2","7","124","1109.715934223362","54"
"中行","2","7","225","2058.562815101436","75"
"中行","2","7","216","858.0351655840246","20"
"中行","2","7","139","362.98611625353897","110"
"中行","2","7","152","1027.8004502285044","0"
"中行","2","7","89","325.9981103508445","53"
"中行","2","7","172","1991.157670751108","44"
"中行","2","7","147","703.2810048327999","53"
"中行","2","7","230","3191.5118369203688","69"
"中行","2","7","235","2105.289689185509","52"
"中行","2","7","140","179.1473940490515","110"
"中行","2","7","318","405.6048075833784","47"
"中行","2","8","102","530.9750178937288","109"
"中行","2","7","158","634.7780159734425","80"
"中行","2","8","119","782.1381496929888","106"
"中行","2","5","817","3048.669404407621","8"
"中行","2","7","150","2093.390961846639","75"
"中行","2","10","558","2912.7686908915434","97"
"中行","2","7","131","300.1409757055702","92"
"中行","2","2","397","691.9834709372301","9"
"交行","3","9","32","14748.286625988485","35"
"交行","3","3","17","1710.9793002810513","10"
"交行","3","10","14","13875.882440048816","15"
"交行","3","10","6","6271.173048393811","117"
"交行","3","10","14","12457.118665885993","38"
"交行","3","5","8","4768.552550631486","64"
"交行","3","5","32","2885.855419301185","21"
"交行","3","5","28","2835.031935682565","95"
"交行","3","5","107","5238.373469448393","103"
"交行","3","5","48","4205.66090397285","39"
"交行","3","5","28","3551.530740229773","36"
"交行","3","9","156","9228.598256780047","74"
"交行","3","6","6","11499.625432620445","67"
"交行","3","2","21","4580.2649099283435","30"
