lng,lat
113.935528,22.55090678
113.9475916,22.51452494
114.036301,22.63441175
113.9096037,22.52356999
113.9425343,22.53018599
114.1326278,22.57888698
114.0518166,22.55182922
113.9794317,22.54416925
113.9601637,22.58707962
113.9520387,22.55852375
114.0442734,22.6332164
113.9226665,22.4872854
113.9104386,22.78648373
113.9444811,22.52396702
114.115295,22.56774592
114.0903599,22.54996386
114.1106478,22.54548343
114.133694,22.54771065
113.9581646,22.55984225
113.9981587,22.69710235
113.9551462,22.54173959
113.8926775,22.55566049
114.1157759,22.54687817
114.0841345,22.54512982
114.1151862,22.56774484
114.0635066,22.53999838
114.4252396,22.6352607
114.1303999,22.6828643
113.9907634,22.56382444
113.9319622,22.52971024
113.9384349,22.52496528
113.9304256,22.53290881
113.9563323,22.54508122
113.9465589,22.54618387
113.8125329,22.73283909
113.9109531,22.78502373
114.0279262,22.63052703
114.095431,22.54823492
113.9466397,22.53031049
114.0940883,22.5505362
114.0616516,22.55079631
114.0590312,22.54281037
114.0774431,22.55072928
113.9313239,22.51099805
114.2031361,22.65239909
114.2574496,22.73000324
114.2241985,22.72907764
114.1283603,22.60483416
113.9123139,22.56464373
113.8365003,22.73419586
113.8859909,22.56535127
113.9076633,22.56949277
113.8605211,22.76939927
114.027458,22.660603
114.0386,22.64509
114.2382594,22.55716003
113.960701,22.54128427
113.9858237,22.53904035
113.9426905,22.52278606
113.8867022,22.50667154
113.9195263,22.48821064
113.9274658,22.49643689
113.9284793,22.53909689
113.9622798,22.54513521
113.9524004,22.55041129
113.9395273,22.54770789
114.1380353,22.55706936
114.1244671,22.54736992
114.1166237,22.54747398
114.1371485,22.56710691
114.115875,22.55882984
114.14192,22.55195332
114.0587438,22.52830239
114.0701279,22.54822566
114.0510807,22.55982278
114.0899025,22.54492559
114.0319654,22.54114551
114.0606508,22.57122188
114.062303,22.55058641
114.0751513,22.53726812
114.0334808,22.53227513
114.0299378,22.53715065
114.1085884,22.5648228
114.0489636,22.54701035
114.0922242,22.55057923
114.037954,22.53904505
114.0701842,22.55279055
114.0885454,22.5477022
114.0177596,22.55063076
114.0586358,22.5473636
114.3494396,22.69258781
114.2022779,22.64842385
114.1299935,22.61596848
114.242577,22.73146844
113.8960586,22.55950666
113.8365089,22.73579567
113.8937926,22.59171052
113.8575473,22.77060536
113.8679012,22.62117914
113.9174752,22.567693
114.0305449,22.65929539
114.2360115,22.55527082
113.9933435,22.54043301
113.9290138,22.52635867
113.9260058,22.50218813
113.9208142,22.48886396
113.9416084,22.52552622
114.1359551,22.56589269
114.1220749,22.54001974
114.1255679,22.55438475
114.118432,22.54773061
114.0689185,22.52920679
114.0919854,22.55519769
114.0905844,22.5473274
114.0603361,22.54361222
114.0535052,22.55851313
114.2442819,22.71789439
114.0549641,22.60228281
113.8690617,22.58029184
113.8936964,22.56553711
113.8366165,22.73814622
113.9105996,22.57432231
114.0304136,22.66651513
114.2415759,22.55767002
113.9330507,22.49263972
113.957699,22.54489143
113.9818888,22.54333824
113.9296257,22.52594615
113.9571946,22.55992571
113.947668,22.50509886
113.9258532,22.53714656
114.1199948,22.54546772
114.1309,22.54347137
114.1364454,22.55241074
114.0841345,22.54512982
114.0385406,22.53595239
114.0980015,22.54360268
114.0739007,22.55318047
114.0881037,22.55053025
114.0968193,22.54687677
114.1024868,22.54758699
114.0586944,22.54441486
114.1073505,22.56323418
114.1298222,22.60127081
114.235426,22.72791928
114.2126075,22.65270691
113.872169,22.58180641
113.8912257,22.56361538
113.9136609,22.56691063
114.0367278,22.66712542
114.2437329,22.55601733
113.9587907,22.54477371
113.9378892,22.52312466
113.9435947,22.5279827
113.9096037,22.52356999
113.970332,22.53867762
113.9883185,22.55652446
113.9375307,22.53751168
113.9745234,22.53704603
114.1264898,22.54887129
114.1118279,22.56299617
114.1242621,22.54214549
114.0308414,22.54109547
114.0763187,22.54510525
114.0257959,22.54320739
