_index,lng,lat
312,114.0621802,22.54958186
331,113.9598985,22.58689855
332,113.9519422,22.54408318
333,113.929068,22.49574765
334,113.9256706,22.53670844
335,114.1419737,22.55627338
336,114.1321099,22.57736586
337,114.17617,22.56772265
338,114.1382042,22.55536731
339,114.134529,22.55058017
340,114.1287166,22.55342647
341,114.123815,22.549134
342,114.0947785,22.54687612
343,114.0599521,22.53786417
344,114.0301612,22.54080003
345,114.1016509,22.55470352
346,114.0754654,22.53563852
347,114.0524033,22.54635401
348,114.056971,22.541279
349,114.028053,22.542952
350,114.12498,22.540935
351,114.037635,22.538566
352,114.151265,22.553427
354,114.073376,22.525087
355,114.094025,22.544147
357,114.058222,22.519621
358,114.147851,22.566509
359,113.947592,22.514525
361,114.015351,22.540562
362,113.957845,22.543724
364,114.020525,22.557873
