0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
143,345667,23099271
257,333254,13580634
245,11596,1146202
93,89544,882523
5,498795,24132300
82,13966,280145
41,208476,10900561
11,4250,1370947
17,49324,12122512
140,129693,22787187
226,60246,12783260
587,30598,1880000
1002,19776,55000
39,7828,1527617
541,75208,6912773
10,2112,693504
189,101406,16045169
116,430796,26347359
259,27234,9529268
222,39800,312668
204,258093,7037235
887,109363,896941
155,236786,12544397
114,219438,12140277
122,258777,15785054
371,151813,11254523
303,0,115621
16,198,110000
17,203584,3978655
32,179460,13191635
121,21018,6691334
237,4994,1213424
223,82350,12507849
164,30491,5359590
94,8794,5346058
107,23758,5041251
253,282,670545
467,48140,3214503
638,747711,23455155
376,491911,11058886
603,652829,20328155
761,166547,9859201
1544,11408,973754
426,222840,11423286
613,211985,11381286
808,25186,1090849
1685,64778,1282761
903,139120,1815902
517,62302,354949
776,3140,1869647
346,60440,4517246
325,312188,19078083
104,0,119312
482,1296,529582
806,133792,5611972
312,106085,3821738
557,1204,341034
586,144540,9850450
587,89575,6910666
372,181834,6090621
460,256009,24098630
275,35217,4803082
376,213510,8988413
262,154143,12721016
99,88726,11584831
479,121930,11092963
346,8345,3380586
328,104368,1205663
253,155032,20585411
345,2331,3282658
357,126135,5920331
237,327045,19952136
476,120678,11922454
152,85528,10506927
294,5073,2573413
433,71446,4012985
300,17535,4622564
325,106723,14442281
277,4883,1265471
212,69601,6593592
168,13129,5921013
139,6381,252255
271,905,1476958
17,646110,19428653
14,607408,19115985
6,726119,34528746
14,838139,36098462
8,111520,9077444
32,6440,567421
28,292639,13045959
107,13966,280145
48,393732,19049190
28,201352,11201494
156,42968,951300
6,187381,15557816
21,61698,6465591
26,9726,1588260
18,260144,12448424
3,173685,10374564
16,47015,5842866
13,208187,9145023
4,79062,11842779
7,1232,78600
11,436,17897
9,146284,10935291
5,4958,2349209
51,0,179000
8,0,1133727
14,43497,75200
15,644562,21780206
20,251386,7338342
53,225075,11423286
2,168084,9859201
11,252038,9428804
8,267101,16461803
98,37762,951300
1,379937,19289303
1,0,0
7,56588,7227068
3,52519,1876223
8,253170,14769173
9,173667,11164809
